order_date,region,category,sales,profit,quantity
2024-01-01,North,Electronics,299.99,45.00,2
2024-01-02,South,Furniture,899.50,-20.00,1
2024-01-03,East,Office Supplies,125.00,18.75,3
2024-01-04,West,Electronics,599.99,89.50,2
2024-01-05,North,Furniture,449.99,65.00,1
2024-01-06,South,Office Supplies,67.50,8.25,4
2024-01-07,East,Electronics,399.99,55.00,1
2024-01-08,West,Furniture,349.99,42.00,2
2024-01-09,North,Office Supplies,89.99,12.00,3
2024-01-10,South,Electronics,259.99,-12.00,1
2024-01-11,East,Furniture,299.99,35.00,2
2024-01-12,West,Office Supplies,45.99,6.50,4
2024-01-13,North,Electronics,749.99,112.00,1
2024-01-14,South,Furniture,649.99,-30.00,2
2024-01-15,East,Office Supplies,78.99,11.00,3
2024-01-16,West,Electronics,899.99,145.00,1
2024-01-17,North,Furniture,549.99,78.00,2
2024-01-18,South,Office Supplies,34.99,4.00,5
2024-01-19,East,Electronics,499.99,75.00,1
2024-01-20,West,Furniture,399.99,52.00,2
2024-01-21,North,Office Supplies,56.99,8.00,3
2024-01-22,South,Electronics,179.99,-8.00,2
2024-01-23,East,Furniture,199.99,25.00,1
2024-01-24,West,Office Supplies,89.99,12.00,4
2024-01-25,North,Electronics,449.99,68.00,2
2024-01-26,South,Furniture,549.99,-22.00,1
2024-01-27,East,Office Supplies,45.99,6.50,3
2024-01-28,West,Electronics,699.99,110.00,1
2024-01-29,North,Furniture,349.99,42.00,2
2024-01-30,South,Office Supplies,23.99,3.50,5
2024-02-01,North,Electronics,399.99,55.00,1
2024-02-02,South,Furniture,749.99,-25.00,2
2024-02-03,East,Office Supplies,67.50,8.25,3
2024-02-04,West,Electronics,299.99,45.00,2
2024-02-05,North,Furniture,499.99,72.00,1
2024-02-06,South,Office Supplies,89.99,12.00,4
2024-02-07,East,Electronics,599.99,89.50,1
2024-02-08,West,Furniture,249.99,32.00,2
2024-02-09,North,Office Supplies,78.99,11.00,3
2024-02-10,South,Electronics,199.99,28.00,2
2024-02-11,East,Furniture,449.99,65.00,1
2024-02-12,West,Office Supplies,34.99,4.00,5
2024-02-13,North,Electronics,649.99,98.00,1
2024-02-14,South,Furniture,399.99,-15.00,2
2024-02-15,East,Office Supplies,56.99,8.00,3
2024-02-16,West,Electronics,799.99,125.00,1
2024-02-17,North,Furniture,299.99,35.00,2
2024-02-18,South,Office Supplies,45.99,6.50,4
2024-02-19,East,Electronics,349.99,50.00,1
2024-02-20,West,Furniture,549.99,78.00,2
